Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31
ARJUNI MORGAON,63,BADOLE RAJKUMAR SUDAM,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,BANSOD DILIP WAMAN,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,16415,23/23,Result Declared
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMORI,67,RAMDAS MALUJI MASRAM,Indian National CongressiParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,KRUSHNA DAMAJI GAJBE,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:132Trailing In:0",Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,6210,23/23,Result Declared
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARNI,80,RAJU NARAYAN TODSAM,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,JITENDRA SHIVAJI MOGHE,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,29313,27/27,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARVI,44,SUMIT WANKHEDE,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,MAYURA AMAR KALE,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,39574,23/23,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHTI,231,DHAS SURESH RAMCHANDRA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,BHIMRAO ANANDRAO DHONDE,"Independent
iParty Wise State TrendsLeading In:0Won In:2Trailing In:0",Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,77975,32/32,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURANGABAD CENTRAL,107,JAISWAL PRADEEP SHIVNARAYAN,Shiv SenaiParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,SIDDIQUI NASERUDDIN TAQUIUDDIN,"All India Majlis-E-Ittehadul Muslimeen
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",All India Majlis-E-Ittehadul Muslimeen,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,8119,23/23,Result Declared
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All India Majlis-E-Ittehadul Muslimeen,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURANGABAD EAST,109,ATUL MORESHWAR SAVE,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,IMTIAZ JALEEL SYED,"All India Majlis-E-Ittehadul Muslimeen
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",All India Majlis-E-Ittehadul Muslimeen,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,2161,24/24,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All India Majlis-E-Ittehadul Muslimeen,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURANGABAD WEST,108,SANJAY PANDURANG SHIRSAT,Shiv SenaiParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,RAJU RAMRAO SHINDE,"Shiv Sena (Uddhav Balasaheb Thackeray)
iParty Wise State TrendsLeading In:0Won In:20Trailing In:0",Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,16351,30/30,Result Declared
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSA,239,ABHIMANYU DATTATRAY PAWAR,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,DINKAR BABURAO MANE,"Shiv Sena (Uddhav Balasaheb Thackeray)
iParty Wise State TrendsLeading In:0Won In:20Trailing In:0",Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,33462,23/23,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADNAPUR,102,KUCHE NARAYAN TILAKCHAND,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,BABLU NEHRULAL CHOUDHARY,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,45531,27/27,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADNERA,37,RAVI GANGADHAR RANA,Rashtriya Yuva Swabhiman PartyiParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Rashtriya Yuva Swabhiman Party,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,BAND PRITI SANJAY,"Independent
iParty Wise State TrendsLeading In:0Won In:2Trailing In:0",Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,66974,25/25,Result Declared
Rashtriya Yuva Swabhiman Party,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAGLAN,116,DILIP MANGLU BORSE,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,CHAVAN DIPIKA SANJAY,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,129297,21/21,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALAPUR,29,NITIN BHIKANRAO DESHMUKH,Shiv Sena (Uddhav Balasaheb Thackeray)iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,S.N. KHATIB,"Vanchit Bahujan  Aaghadi
iParty Wise State TrendsLeading In:0Won In:0Trailing In:0",Vanchit Bahujan  Aaghadi,iParty Wise State TrendsLeading In:0Won In:0Trailing In:0,Leading In,:,0,Won In,:,0,Trailing In,:,0,11739,31/31,Result Declared
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanchit Bahujan  Aaghadi,iParty Wise State TrendsLeading In:0Won In:0Trailing In:0,Leading In,:,0,Won In,:,0,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALLARPUR,72,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,RAWAT SANTOSHSINGH CHANDANSINGH,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,25985,28/28,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARAMATI,201,AJIT ANANTRAO PAWAR,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,YUGENDRA SHRINIVAS PAWAR,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,100899,20/20,Result Declared
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARSHI,246,DILIP GANGADHAR SOPAL,Shiv Sena (Uddhav Balasaheb Thackeray)iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,RAJENDRA VITTHAL RAUT,"Shiv Sena
iParty Wise State TrendsLeading In:0Won In:57Trailing In:0",Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,6472,24/24,Result Declared
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BASMATH,92,CHANDRAKANT ALIAS RAJUBHAIYA RAMAKANT NAVGHARE,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,DANDEGAONKAR JAYPRAKASH RAOSAHEB SALUNKE,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,29588,24/24,Result Declared
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEED,230,SANDEEP RAVINDRA KSHIRSAGAR,Nationalist Congress Party – Sharadchandra PawariParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,KSHIRSAGAR YOGESH BHARATBHUSHAN,"Nationalist Congress Party
iParty Wise State TrendsLeading In:0Won In:41Trailing In:0",Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,5324,30/30,Result Declared
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELAPUR,151,MANDA VIJAY MHATRE,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,SANDEEP GANESH NAIK,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,377,28/28,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHANDARA,61,BHONDEKAR NARENDRA BHOJRAJ,Shiv SenaiParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,PUJA GANESH (BALU) THAVAKAR,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,38367,32/32,Result Declared
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
